Generación,Fitness Promedio,Mejor Fitness
6,530.0000,357.5000,164.8310,0.00
7,530.0000,400.9000,143.6826,0.00
8,565.0000,368.9000,159.3935,6.60
9,565.0000,372.2000,181.1606,0.00
10,565.0000,372.0000,193.3313,0.00
11,565.0000,373.8000,174.5410,0.00
12,565.0000,383.6000,163.1749,0.00
13,600.0000,401.1000,174.4686,6.19
14,705.0000,358.1000,185.8330,17.50
Generación,Mejor Fitness,Promedio Fitness,Desviación Estándar,Porcentaje Mejora Promedio
1,425.0000,245.6000,126.0105,0.00
2,460.0000,241.2000,125.5052,-1.79
3,495.0000,243.5000,118.9296,0.95
4,495.0000,262.9000,128.3397,7.97
5,565.0000,327.4000,118.7318,24.53
6,565.0000,297.6000,165.2339,-9.10
7,495.0000,338.6000,135.1482,13.78
8,495.0000,346.9000,154.3045,2.45
9,495.0000,382.0000,143.1538,10.12
10,495.0000,361.8000,164.6018,-5.29
11,960.0000,382.8000,170.5877,5.80
12,960.0000,425.1000,141.2285,11.05
13,495.0000,355.5000,169.6504,-16.37
14,495.0000,377.8000,168.3216,6.27
15,495.0000,421.4000,134.8223,11.54
16,495.0000,382.9000,164.5451,-9.14
17,810.0000,392.1000,147.0683,2.40
18,495.0000,348.3000,175.7857,-11.17
Generación,Mejor Fitness,Promedio Fitness,Desviación Estándar,Porcentaje Mejora Promedio
1,495.0000,256.1000,129.4075,0.00
2,565.0000,306.5000,140.4146,19.68
3,565.0000,342.3000,135.7616,11.68
4,565.0000,321.2000,147.2364,-6.16
5,565.0000,350.0000,141.8133,8.97
6,565.0000,383.0000,133.1841,9.43
7,565.0000,368.0000,162.2683,-3.92
Generación,Mejor Fitness,Promedio Fitness,Desviación Estándar,Porcentaje Mejora Promedio,Porcentaje Mejora Mejor Fitness
1,530.0000,225.9000,120.0612,0.00,0.00
2,565.0000,306.4000,118.9203,35.64,6.60
3,565.0000,322.5000,122.6020,5.25,0.00
4,565.0000,301.9000,174.9425,-6.39,0.00
5,600.0000,340.6000,147.7756,12.82,6.19
6,565.0000,345.6000,142.4312,1.47,-5.83
7,565.0000,377.3000,160.5871,9.17,0.00
8,565.0000,335.8000,211.4293,-11.00,0.00
9,565.0000,401.8000,187.8610,19.65,0.00
10,565.0000,421.3000,184.7615,4.85,0.00
11,600.0000,432.5000,185.4407,2.66,6.19
12,565.0000,374.9000,195.0192,-13.32,-5.83
13,565.0000,396.2000,186.5598,5.68,0.00
14,565.0000,374.3000,200.0475,-5.53,0.00
15,600.0000,439.5000,176.4263,17.42,6.19
16,565.0000,375.8000,188.4313,-14.49,-5.83
17,565.0000,350.4000,193.3438,-6.76,0.00
18,600.0000,363.6000,204.0540,3.77,6.19
19,600.0000,315.2000,214.0793,-13.31,0.00
20,600.0000,348.9000,208.4113,10.69,0.00
21,600.0000,333.7000,179.1586,-4.36,0.00
22,600.0000,317.1000,179.7139,-4.97,0.00
23,600.0000,326.6000,185.2416,3.00,0.00
24,600.0000,313.0000,162.3638,-4.16,0.00
25,600.0000,323.9000,174.3797,3.48,0.00
26,600.0000,378.0000,160.1062,16.70,0.00
27,600.0000,379.4000,168.8421,0.37,0.00
28,735.0000,363.2000,183.1414,-4.27,22.50
29,735.0000,382.1000,190.0844,5.20,0.00
30,735.0000,426.2000,177.2838,11.54,0.00
31,735.0000,368.1000,222.4025,-13.63,0.00
32,735.0000,426.7000,227.2479,15.92,0.00
33,735.0000,491.5000,249.0627,15.19,0.00
Generación,Mejor Fitness,Promedio Fitness,Desviación Estándar,Porcentaje Mejora Promedio,Porcentaje Mejora Mejor Fitness
1,600.0000,274.8000,142.0826,0.00,0.00
2,635.0000,313.0000,163.6307,13.90,5.83
3,635.0000,382.2500,156.5797,22.12,0.00
1,460.0000,254.6500,123.0655,0.00,0,24
2,630.0000,290.1500,126.8867,0.00,0,23
3,630.0000,354.1000,124.5901,0.00,0,24
4,630.0000,360.3500,143.9223,0.00,0,20
5,630.0000,379.9000,143.1677,0.00,0,33
6,630.0000,401.5500,144.6646,0.00,0,20
7,630.0000,432.5500,150.1208,0.00,0,32
1,565.0000,309.3000,154.3811,0.00,0,33
2,600.0000,346.4500,143.0582,0.00,0,20
3,670.0000,388.5000,150.7092,0.00,0,22
4,670.0000,406.3000,167.4972,0.00,0,28
5,670.0000,438.0500,171.4000,0.00,0,20
6,670.0000,452.5500,166.9738,0.00,0,35
7,670.0000,429.7500,197.1375,0.00,0,17
8,670.0000,430.2000,191.9660,0.00,0,17
Generación,Mejor Fitness,Promedio Fitness,Desviación Estándar,Porcentaje Mejora Promedio
1,565.0000,258.9000,142.5843,0.00
2,840.0000,309.1000,178.4424,-45.29
3,600.0000,365.4000,137.1234,-56.50
4,600.0000,367.9000,161.3260,-38.68
5,600.0000,320.3000,170.4154,-46.62
6,600.0000,359.1000,159.0242,-40.15
7,600.0000,376.4000,178.1181,-37.27
8,600.0000,358.3000,201.4438,-40.28
9,600.0000,404.4000,189.6487,-32.60
10,600.0000,425.0000,174.4391,-29.17
11,600.0000,443.8000,189.1311,-26.03
12,600.0000,420.8000,192.2950,-29.87
13,600.0000,428.3000,204.5302,-28.62
14,600.0000,412.2000,202.4084,-31.30
15,600.0000,415.2000,214.7346,-30.80
16,600.0000,422.8000,199.4847,-29.53
17,1050.0000,433.2000,207.1564,-27.80
18,1050.0000,467.3000,217.7274,-55.50
19,1050.0000,514.4000,286.6507,-51.01
20,1050.0000,476.1000,289.8091,-54.66
21,1050.0000,482.5000,263.5228,-54.05
22,1050.0000,535.4000,289.6581,-49.01
23,1050.0000,425.1000,345.8547,-59.51
24,1050.0000,450.1000,319.4910,-57.13
25,1050.0000,475.5000,343.6077,-54.71
26,1050.0000,490.1000,354.1066,-53.32
27,1050.0000,540.1000,376.2386,-48.56
28,1050.0000,581.5000,374.7896,-44.62
29,1050.0000,516.0000,360.4442,-50.86
30,1050.0000,475.4000,286.2933,-54.72
31,1050.0000,411.6000,301.2780,-60.80
