Generación,Mejor Fitness,Fitness Promedio,Diversidad,Peor Fitness,Mejor Cromosoma
1,58288.43,30624.64,0.88,-21031.13,[[[9.933616810808289],[4.925046495097521],[9.685399760209993],[2.6447575949570346],[3.7547476468836205],[3.729391928256305],[3.9931451887927114],[5.149132742462056],[6.928176806355295],[3.3806718960294937],[7.385871035516878],[7.367447382968381],[4.059892861570249],[9.90570345918623],[7.291104070149626],[9.09732228031569],[5.867285235879788],[9.671750011270614],[7.905564005020026],[1.7295828867996832],[7.808759844621561],[2.1515141343158053],[1.6172007316359405],[7.190483280206633],[2.896402124656948],[5.74736894299828],[4.8486825855964035],[6.718024941209579],[3.896774163037028],[1.484095210319235],[5.246909984599775],[3.918347853297436],[3.0719720676930273],[2.374801015707905],[4.9401532200701865],[6.944413842211095],[0.3475169493759711],[3.390611944491865],[4.6795083435942235],[3.813122572001167],[0.569125969375569],[4.033560885340471],[8.554728349030178],[1.871632407431053],[1.6312023943933363],[4.268989538844447],[4.999428679127772],[3.8436681160863806],[3.9240590860034286],[5.36402735205963],[7.827711434402891],[1.3099959754868429],[0.28212591836712986],[1.156726350678493]]]
12,71878.71,55590.46,0.58,72.14,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
13,71878.71,53288.92,0.62,-17401.99,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
14,71878.71,48503.17,0.64,-6782.41,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
15,71878.71,48428.52,0.70,-6782.41,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
16,71878.71,52462.39,0.66,-6782.41,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
17,71878.71,50324.67,0.66,-6782.41,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
18,71878.71,47751.73,0.62,-13817.36,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
19,71878.71,52425.24,0.60,72.14,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
20,71878.71,47919.00,0.60,72.14,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
21,73958.08,54631.92,0.58,-3332.48,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[5.588051389633223],[6.520306947645777],[6.941101068871366],[8.548991606873585],[5.2449491972046065],[2.6278442225191245],[1.6971901653927957],[2.5325325421307143],[8.958630249640416],[2.9939731610884857],[4.024771421600627],[7.515253038691093],[2.0785431274816135],[4.0823567627569215],[6.154663351321712],[2.284131008022957],[2.4012401287791842]]]
