Generación,Mejor Fitness,Fitness Promedio,Diversidad,Peor Fitness,Mejor Cromosoma
1,39715.80,-218.87,0.90,-43034.08,[[[5.7568106885139905],[1.9048562568700544],[6.064099048499464],[8.2133732010764],[7.184167960497861],[6.451460808948971],[5.10655953688949],[5.02104552531354],[1.3709660550898806],[4.294654497681476],[1.9584746462490321],[8.668087034478035],[7.776926819058218],[6.834706944617683],[9.894014197287213],[9.90292640619894],[7.314064748543872],[6.690991768771748],[3.2538211566522834],[3.894976116090163],[2.6883203794590793],[0.049343496630830375],[9.670695028772593],[4.93651763203932],[6.7371689551520415],[3.454180524196121],[9.98665590867566],[7.9553322902141534],[6.488915189715624],[2.9213454757774793],[8.89809044609476],[4.051288038183449],[1.3470658422684512],[4.572764662395581],[8.770847546550673],[8.363189608234967],[3.559082772351434],[0.7670646887534383],[4.644124808760928],[5.671512876306872],[4.934662193634693],[1.6675749255286554],[8.586422285945762],[3.200491986257381],[0.5004228520137943],[5.560778215781176],[4.105421746329224],[8.898894473013799],[7.538600680209807],[2.319724602789771],[5.714754324939677],[3.5970660538313837],[8.689827860205906],[0.35493851651485]]]
12,89563.84,30141.14,0.72,-84079.92,[[[2.8059939908128593],[0.39642281535776425],[1.832138914205681],[3.1666055773563615],[6.721902150001867],[3.638729783534692],[7.671501782221489],[6.183418450310915],[9.83471529514404],[3.3069920714174463],[3.895588900011729],[4.301825267353455],[2.1339220183523477],[0.110810629578586],[2.0026048058055137],[2.276047748336074],[8.362935036561653],[8.800236594112555],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[5.065331614141078],[3.181091144893923],[3.974232354528522],[6.537945552090042],[4.598291356159453],[9.219978252087005],[2.7590116183993296],[3.0557496228716508],[3.8120411011350064],[9.662002866657282]]]
13,90370.72,33331.12,0.80,-74089.61,[[[0.30635326259247475],[1.7583811373562785],[9.51538907962672],[9.60769549190481],[1.7223061453986255],[1.8292026316491672],[9.003970855521427],[3.5576174789620096],[3.880550347945805],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[5.065331614141078],[3.181091144893923],[3.974232354528522],[6.537945552090042],[4.598291356159453],[9.219978252087005],[6.000120919839835],[0.5621325706848346],[3.2901098527980577],[0.20217480637790608]]]
14,91177.60,39994.10,0.80,-74751.13,[[[3.2421566602529883],[1.7583811373562785],[9.51538907962672],[9.60769549190481],[1.7223061453986255],[1.8292026316491672],[9.003970855521427],[3.5576174789620096],[3.880550347945805],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[5.065331614141078],[3.181091144893923],[3.974232354528522],[6.537945552090042],[4.598291356159453],[9.219978252087005],[6.000120919839835],[0.5621325706848346],[3.2901098527980577],[0.20217480637790608]]]
15,91984.48,39488.64,0.82,-75412.64,[[[6.394594939492401],[8.60364587780738],[9.158937988196756],[9.60769549190481],[4.970487883930186],[5.593669819798077],[8.496584258259764],[3.9897442050013754],[2.325563991119377],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[5.065331614141078],[3.181091144893923],[3.974232354528522],[6.537945552090042],[4.598291356159453],[9.219978252087005],[6.000120919839835],[0.5621325706848346],[3.2901098527980577],[5.5566664487832345]]]
16,92791.36,26946.34,0.82,-70641.85,[[[9.010294329444516],[8.944851633902752],[0.10648335016206989],[7.030905383383304],[6.001019567334981],[7.646886974095997],[7.525120051603174],[9.88461568285884],[3.880550347945805],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[5.223961832202779],[6.168490678330068],[3.536782068184613],[6.104038367468009],[9.142456346502492],[4.331988243310846],[9.05627918790998],[7.874556834777241],[3.5228434455792446],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[1.4279556534276894],[5.305981094719279],[4.452070412331865],[2.535561221100666],[7.044249648457891],[2.868155467324919],[7.982118853482437],[7.78669994015758],[9.291100642335664],[3.7793857404450915],[2.544854835990656],[3.420548422688565],[2.5927891806752656],[3.6899794863307522],[4.40203643328514],[7.544559765676693],[8.25054454064431],[5.131717469492733],[5.646882567376336],[4.130167242038436]]]
17,93598.24,22267.63,0.84,-82272.82,[[[0.07240056467097356],[1.7583811373562785],[9.609798709185014],[6.238910969828522],[5.650825469891274],[7.112998071881127],[8.496584258259764],[3.9897442050013754],[2.325563991119377],[7.691019874910502],[5.699803123778189],[4.279315527488783],[8.52676551841542],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[9.173959045677384],[5.797473175229156],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.514407348267689],[1.819687069453234],[0.12081954496679814],[1.5428727834272415],[7.618084876709967],[6.822089596423721],[8.50813275768874],[0.8702017552785979],[3.486735339857362],[4.934455635477507],[0.27931302590157414],[9.291100642335664],[3.7793857404450915],[2.5464824723775603],[1.3072850307241135],[3.974232354528522],[7.277429742100196],[8.855468552767519],[6.957971470703299],[1.7873878977540547],[5.2710245870602135],[3.6988875107663253],[5.731189186257342]]]
18,94405.13,25550.94,0.88,-60992.25,[[[2.793777124855572],[7.4971329273711165],[9.890500707003925],[9.60769549190481],[1.7223061453986255],[1.8292026316491672],[8.496584258259764],[3.9897442050013754],[2.325563991119377],[7.691019874910502],[5.699803123778189],[4.279315527488783],[8.52676551841542],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[9.173959045677384],[5.797473175229156],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.514407348267689],[1.819687069453234],[0.12081954496679814],[1.5428727834272415],[7.618084876709967],[6.822089596423721],[8.50813275768874],[0.8702017552785979],[3.486735339857362],[4.934455635477507],[0.27931302590157414],[9.291100642335664],[3.7793857404450915],[2.5464824723775603],[1.3072850307241135],[3.974232354528522],[7.277429742100196],[8.855468552767519],[6.957971470703299],[1.7873878977540547],[5.2710245870602135],[5.202187545586693],[6.92078497954983]]]
19,95212.01,32840.69,0.80,-61513.55,[[[9.801816079857135],[2.3399921984047745],[0.8075904505819564],[3.5094481409903713],[3.443299863381768],[0.7471382315099317],[8.015591229578714],[7.523586254416785],[0.6960997308074679],[5.8221328308974805],[3.234736596197431],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[5.065331614141078],[3.181091144893923],[2.1581352960178704],[8.925880168576363],[8.33084355199254],[6.098819170259555],[7.641812449297446],[6.755159113039028],[8.781773211884225],[3.7552615831346667]]]
20,96018.89,30259.47,0.78,-84400.56,[[[3.250975935509417],[8.763316846444724],[8.128747752202603],[2.7154344007030695],[5.650825469891274],[2.8594985973009956],[4.67859369658073],[2.4400632012755685],[4.473513607940621],[9.471269498411191],[3.426095255542567],[1.6042540691283347],[5.52120236350457],[0.110810629578586],[5.391367474050609],[1.0561191626821431],[8.071563822776852],[1.8658316779014528],[5.985019097806984],[8.447750129894802],[0.02680992788047787],[2.611446185750487],[6.095527881769204],[8.42121286152434],[4.915990118074605],[8.951025735176922],[5.716607955697875],[8.30340442387983],[1.1655131497704974],[3.2029827617614015],[3.7861095758149297],[3.0880290758575866],[5.358069062131286],[0.12081954496679814],[6.75182522865409],[1.2844704857444145],[1.8014676022539788],[8.564948376632099],[8.381566952471664],[3.2940660564579174],[2.930450609201599],[4.355147942145365],[1.9495468321093945],[3.7793857404450915],[5.065331614141078],[9.798802322740494],[7.567063317025142],[8.781185947333913],[0.7510859481450638],[4.480385728811931],[2.9062945259043205],[8.904122552057945],[8.381602311634252],[1.305149356390941]]]
21,122749.31,28226.93,0.80,-57068.14,[[[1.902401971404979],[6.5168571779262425],[4.943343048032151],[2.718294116462663],[6.39454497411122],[9.857894444557191],[3.7086170544978403],[3.729034265983191],[5.3835936116961625],[0.8524314320678461],[1.7368814151891787],[9.874830595914377],[6.652924913234694],[1.147594749156643],[0.5518905628058413],[5.390183117562256],[5.4724234930285025],[0.1163064897600452],[7.464585092016623],[0.2500394441494802],[9.275595545384375],[4.9711721306130165],[5.885837525661106],[2.938582442545432],[1.0230665262864669],[8.205209335034267],[6.4319289021258825],[7.375456367480263],[6.818854243786986],[1.2171418220535946],[1.8056763344787552],[0.21279950916416435],[3.986137860669763],[5.449203702535281],[9.962819366418445],[8.650006680371439],[0.3171935129375836],[7.024320999896744],[4.354931672405792],[7.413859244440376],[1.6857274884461104],[8.613348319031468],[2.373397222579764],[2.4352563646606953],[5.943096569997852],[0.670383688636037],[4.675027544271996],[8.430115550321602],[1.1342653434337968],[6.284925715309359],[3.67681937695279],[9.407369515799756],[7.987211153540056],[1.2357794854203752]]]
