Generación,Fitness Global,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,CPUs (configurados),Population Size,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
58,33875,99.3,62.44681422445308,1.1970485045630512,0,25,8,500,100.0,100.0,100.0,100.0,96.32,98.12,100.0,100.0
59,33875,99.4,62.07304042860143,1.270968503704475,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,97.72,97.5
60,33875,98.31,61.65637689090622,1.1909817564880347,0,25,8,500,91.87,100.0,100.0,100.0,98.63,95.98,100.0,100.0
61,34278,100.0,63.35787735926802,1.1321931205591445,0,24,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
62,33875,99.43,62.80560115862251,1.1462317849417805,0,25,8,500,100.0,100.0,100.0,100.0,95.42,100.0,100.0,100.0
63,33875,100.0,62.49020004926349,1.1731258114714098,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
64,33875,99.72,60.92008006801148,1.2274967819980829,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.8
65,33875,99.9,62.61580798619968,1.1208630149753391,0,25,8,500,100.0,100.0,99.24,100.0,100.0,100.0,100.0,100.0
66,33875,100.0,63.38091482452494,1.2914709260144273,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
67,34681,99.71,61.96366942041614,1.238664854281096,0,23,8,500,100.0,100.0,100.0,100.0,100.0,97.71,100.0,100.0
68,33875,99.33,62.502588662698166,1.269621732822519,0,25,8,500,100.0,100.0,98.07,100.0,100.0,100.0,96.59,100.0
69,33875,100.0,62.67307460069753,1.1253862770046474,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
70,35084,100.0,62.50442874528931,1.209249511809586,0,22,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
71,33875,99.96,62.39251741043724,1.2039311736965943,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.66
