Generación,Mejor Fitness,Prom Fitness,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra
50,177039.97,122003.16,0.67,40146.16,81.81,99.17,924.91,1,38
51,177039.97,123160.59,0.67,30748.56,82.63,98.77,944.67,1,38
52,177039.97,125146.31,0.65,30748.56,80.44,98.86,963.10,1,38
53,177039.97,120203.24,0.69,30748.56,81.29,98.69,982.46,1,38
54,177039.97,124322.90,0.66,35472.30,83.23,98.92,1002.55,1,38
55,177039.97,121885.22,0.67,35472.30,82.46,98.92,1022.32,1,38
56,177039.97,123271.42,0.66,40146.16,81.42,98.98,1041.88,1,38
57,177039.97,121681.19,0.69,25975.16,83.56,98.95,1062.67,1,38
58,191578.61,125617.26,0.66,35472.30,82.45,98.10,1082.56,0,8
59,191578.61,121253.34,0.70,35472.30,83.56,98.95,1103.44,0,8
60,191578.61,124672.31,0.69,21152.32,82.61,98.97,1123.55,0,8
61,191578.61,116371.02,0.71,25975.16,82.54,98.80,1142.89,0,8
62,191578.61,121379.77,0.71,16280.29,83.31,99.29,1162.72,0,8
63,191578.61,119970.67,0.74,40146.16,88.48,98.90,1187.41,0,8
64,191578.61,124832.07,0.72,35472.30,87.96,99.23,1210.81,0,8
65,191578.61,129334.30,0.71,49343.21,89.48,99.25,1235.90,0,8
66,191578.61,130075.77,0.71,30748.56,88.47,99.08,1258.64,0,8
67,191578.61,130512.58,0.69,21152.32,89.65,98.96,1284.32,0,8
68,191578.61,130457.49,0.70,30748.56,88.39,99.02,1310.04,0,8
69,191578.61,129403.17,0.70,30748.56,86.92,99.20,1330.78,0,8
70,191578.61,128622.35,0.73,21152.32,83.94,99.29,1351.18,0,8
71,191578.61,131335.62,0.73,44769.87,82.94,99.07,1370.16,0,8
72,191578.61,127279.42,0.69,30748.56,82.37,98.93,1389.30,0,8
73,197948.61,126191.54,0.70,21152.32,80.71,99.19,1407.35,0,3
74,197948.61,132832.16,0.73,21152.32,84.21,99.29,1426.41,0,3
75,197948.61,136527.51,0.73,40146.16,88.02,98.97,1450.49,0,3
76,197948.61,131930.47,0.72,40146.16,82.51,98.70,1470.11,0,3
77,197948.61,137576.21,0.73,21152.32,84.68,99.04,1488.97,0,3
78,197948.61,135189.61,0.75,25975.16,81.56,99.25,1507.06,0,3
79,197948.61,129992.86,0.76,1371.11,81.78,98.83,1525.89,0,3
80,197948.61,135249.79,0.78,25975.16,83.13,99.28,1543.92,0,3
81,197948.61,135601.12,0.81,30748.56,83.26,98.94,1562.39,0,3
82,197948.61,135537.99,0.78,-29747.62,86.70,98.49,1583.46,0,3
83,197948.61,133311.02,0.81,25975.16,86.57,98.99,1603.54,0,3
84,197948.61,135389.62,0.77,30748.56,86.22,98.84,1623.57,0,3
85,197948.61,138264.88,0.80,35472.30,81.38,99.21,1641.77,0,3
86,197948.61,139843.50,0.82,49343.21,82.48,99.25,1660.93,0,3
87,197948.61,134878.77,0.80,35472.30,83.10,99.36,1679.99,0,3
88,197948.61,139107.00,0.75,16280.29,82.40,99.20,1699.54,0,3
89,197948.61,134340.70,0.78,30748.56,85.10,99.22,1720.14,0,3
90,197948.61,127273.20,0.78,-3695.60,81.89,99.26,1738.71,0,3
91,197948.61,134541.94,0.74,40146.16,84.03,99.26,1758.12,0,3
92,96247.72,137430.53,0.73,40146.16,83.17,99.28,1777.11,0,40
93,197948.61,138877.44,0.75,25975.16,83.24,99.29,1796.08,0,3
94,197948.61,136474.83,0.75,16280.29,83.64,99.25,1815.12,0,3
95,197948.61,139555.86,0.72,30748.56,83.83,99.27,1833.75,0,3
96,197948.61,140062.19,0.75,1371.11,81.44,99.24,1852.40,0,3
97,197948.61,134738.58,0.73,25975.16,86.64,97.96,1872.39,0,3
98,197948.61,149090.60,0.72,11359.26,82.57,99.20,1890.85,0,3
99,197948.61,132793.30,0.72,21152.32,83.64,99.09,1910.52,0,3
100,197948.61,143945.29,0.71,30748.56,84.84,99.19,1930.51,0,3
101,197948.61,134068.17,0.72,35472.30,88.77,98.05,1950.94,0,3
102,197948.61,133275.56,0.72,16280.29,86.26,99.22,1972.10,0,3
103,197948.61,132927.36,0.71,40146.16,87.47,98.81,1993.83,0,3
104,197948.61,133820.78,0.72,30748.56,85.23,98.85,2014.98,0,3
105,197948.61,136679.23,0.66,30748.56,83.68,99.17,2035.86,0,3
106,197948.61,130594.02,0.73,-29747.62,86.53,99.28,2057.64,0,3
107,197948.61,133176.15,0.68,30748.56,88.66,98.83,2083.80,0,3
108,197948.61,132298.32,0.66,30748.56,79.65,99.20,2102.37,0,3
109,197948.61,138721.54,0.67,35472.30,89.88,97.71,2121.51,0,3
110,197948.61,139847.90,0.67,30748.56,86.64,98.95,2140.40,0,3
111,197948.61,143521.57,0.63,40146.16,78.60,99.27,2158.07,0,3
112,197948.61,134629.51,0.67,-3695.60,79.97,99.12,2176.17,0,3
113,197948.61,133857.34,0.64,6389.47,79.33,99.21,2194.03,0,3
114,197948.61,136657.78,0.63,6389.47,80.74,99.12,2212.56,0,3
115,197948.61,134656.32,0.68,6389.47,82.01,99.06,2230.04,0,3
116,197948.61,136669.24,0.69,6389.47,77.58,99.20,2247.82,0,3
117,197948.61,139032.68,0.68,30748.56,80.52,99.04,2265.50,0,3
118,197948.61,134441.21,0.70,11359.26,80.93,98.07,2283.32,0,3
119,197948.61,137080.60,0.72,25975.16,80.13,98.65,2300.90,0,3
120,197948.61,131053.01,0.70,21152.32,79.04,99.32,2318.82,0,3
121,197948.61,136676.19,0.66,35472.30,80.49,99.32,2336.82,0,3
122,197948.61,132419.11,0.67,44769.87,79.53,99.08,2355.23,0,3
123,197948.61,134549.82,0.66,16280.29,80.21,99.27,2373.71,0,3
124,197948.61,134414.07,0.70,30748.56,83.47,99.07,2392.52,0,3
125,197948.61,138314.77,0.67,30748.56,78.69,99.01,2410.62,0,3
126,197948.61,133455.88,0.69,25975.16,78.28,99.18,2429.00,0,3
127,197948.61,131659.21,0.72,35472.30,80.00,99.16,2447.99,0,3
128,197948.61,125683.12,0.74,30748.56,81.39,99.09,2467.23,0,3
129,197948.61,133895.83,0.71,30748.56,78.65,99.17,2485.79,0,3
130,197948.61,130842.78,0.68,40146.16,80.96,99.28,2504.59,0,3
131,197948.61,127589.89,0.67,30748.56,78.02,99.16,2522.73,0,3
132,197948.61,138588.21,0.62,21152.32,80.53,99.22,2541.33,0,3
133,197948.61,138449.40,0.60,-13973.30,81.94,99.25,2559.48,0,3
134,197948.61,135547.93,0.64,-3695.60,78.24,98.97,2577.20,0,3
135,197948.61,137413.65,0.66,25975.16,79.62,98.80,2595.30,0,3
136,199191.09,134004.28,0.66,21152.32,78.90,99.16,2613.21,0,1
137,199191.09,136871.10,0.71,40146.16,79.26,99.03,2631.60,0,1
138,199191.09,130532.26,0.69,30748.56,81.23,99.26,2649.61,0,1
139,199191.09,134059.31,0.71,44769.87,78.22,99.11,2666.94,0,1
140,199191.09,140724.09,0.70,44769.87,80.19,99.26,2684.79,0,1
141,199191.09,138823.14,0.69,40146.16,79.13,99.27,2702.34,0,1
142,199191.09,134118.36,0.67,35472.30,80.86,99.19,2720.68,0,1
143,199191.09,141558.75,0.67,-8810.47,78.13,99.22,2737.98,0,1
144,199191.09,136649.04,0.71,1371.11,78.33,98.97,2755.55,0,1
145,199191.09,133901.05,0.71,35472.30,80.45,99.27,2773.56,0,1
146,199191.09,126346.74,0.73,-35100.40,86.20,97.56,2792.13,0,1
147,199191.09,127727.81,0.71,21152.32,86.59,99.04,2811.36,0,1
148,199191.09,136256.65,0.68,35472.30,81.43,99.18,2829.96,0,1
149,199191.09,133828.02,0.68,11359.26,84.00,97.28,2847.97,0,1
150,199191.09,134568.44,0.69,16280.29,81.84,99.28,2867.61,0,1
151,199191.09,132347.10,0.70,35472.30,82.08,98.75,2885.77,0,1
152,199191.09,137576.27,0.69,44769.87,81.90,98.50,2903.16,0,1
153,199191.09,140194.95,0.70,25975.16,79.64,99.22,2920.76,0,1
154,199191.09,137010.54,0.72,-40500.20,82.29,98.88,2938.72,0,1
155,199191.09,131207.13,0.69,35472.30,81.04,98.33,2956.24,0,1
156,199191.09,132082.19,0.72,30748.56,78.42,98.50,2972.75,0,1
157,199191.09,132681.03,0.74,40146.16,80.28,98.72,2989.93,0,1
158,199191.09,132304.83,0.72,-3695.60,86.15,98.74,3007.66,0,1
159,199191.09,129875.48,0.68,-3695.60,83.42,99.16,3025.27,0,1
160,199191.09,130336.32,0.69,30748.56,84.17,99.23,3043.25,0,1
161,199191.09,135028.75,0.65,16280.29,83.93,98.26,3060.89,0,1
162,199191.09,130775.08,0.72,25975.16,84.97,98.35,3079.19,0,1
163,199191.09,133250.80,0.72,1371.11,84.45,99.29,3097.19,0,1
164,199191.09,133365.42,0.69,21152.32,83.78,99.03,3114.93,0,1
165,199191.09,133480.17,0.70,21152.32,83.74,99.23,3133.03,0,1
166,199191.09,135877.27,0.71,44769.87,88.64,99.01,3151.54,0,1
167,199191.09,142671.50,0.70,40146.16,87.18,99.16,3169.86,0,1
168,199191.09,141349.18,0.72,30748.56,85.93,99.19,3188.38,0,1
169,199191.09,137178.53,0.69,16280.29,83.92,99.11,3206.24,0,1
170,199191.09,144779.38,0.69,40146.16,83.08,99.30,3223.72,0,1
