Generación,Fitness Promedio,Mejor Fitness,Cromosoma
11,717.00,945.00,7.14, 1.57, 0.97, 5.75, 5.42, 8.67, 2.37, 7.74, 7.26, 2.22, 6.93, 4.90, 3.01, 7.80, 8.81, 7.34, 5.03, 2.78, 3.28, 8.04, 7.16, 9.72, 5.50, 1.58, 1.36, 7.04, 9.00, 7.96, 1.19, 5.10, 6.29, 6.06, 3.95, 9.28, 5.97, 4.47, 7.93, 8.56, 1.52, 4.58, 2.32, 8.30, 6.01, 2.77, 3.11, 0.33, 2.88, 0.16, 8.66, 2.86
12,695.16,976.59,0.82, 2.81, 9.24, 5.75, 1.37, 5.17, 9.81, 3.44, 2.20, 5.94, 2.42, 5.44, 0.80, 5.93, 9.24, 8.21, 6.09, 1.40, 5.90, 9.16, 2.97, 0.26, 8.60, 6.63, 5.79, 8.68, 3.28, 3.17, 7.55, 5.10, 6.29, 6.06, 3.95, 9.28, 5.97, 4.47, 7.93, 8.56, 1.52, 4.58, 2.32, 8.30, 6.01, 2.77, 3.11, 0.33, 2.88, 0.16, 8.66, 2.86
13,765.66,945.00,7.14, 1.57, 0.97, 5.75, 5.42, 8.67, 2.37, 7.74, 7.26, 2.22, 6.93, 4.90, 3.01, 7.80, 8.81, 7.34, 5.03, 2.78, 3.28, 8.04, 7.16, 9.72, 5.50, 1.58, 1.36, 7.04, 9.00, 7.96, 1.19, 5.10, 6.29, 6.06, 3.95, 9.28, 5.97, 4.47, 7.93, 8.56, 1.52, 4.58, 2.32, 8.30, 6.01, 2.77, 3.11, 0.33, 2.88, 0.16, 8.66, 5.09
14,612.00,945.00,7.14, 1.57, 0.97, 5.75, 5.42, 8.67, 2.37, 7.74, 7.26, 2.22, 6.93, 4.90, 3.01, 7.80, 8.81, 7.34, 5.03, 2.78, 3.28, 8.04, 7.16, 9.72, 5.50, 1.58, 1.36, 7.04, 9.00, 7.96, 1.19, 5.10, 6.29, 6.06, 3.95, 9.28, 5.97, 4.47, 7.93, 8.56, 1.52, 4.58, 2.32, 8.30, 6.01, 2.77, 3.11, 0.33, 2.88, 0.16, 8.66, 5.09
15,514.80,945.00,7.14, 1.57, 0.97, 5.75, 5.42, 8.67, 2.37, 7.74, 7.26, 2.22, 6.93, 4.90, 3.01, 7.80, 8.81, 7.34, 5.03, 2.78, 3.28, 8.04, 7.16, 9.72, 5.50, 1.58, 1.36, 7.04, 9.00, 7.96, 1.19, 5.10, 6.29, 6.06, 3.95, 9.28, 5.97, 4.47, 7.93, 8.56, 1.52, 4.58, 2.32, 8.30, 6.01, 2.77, 3.11, 0.33, 2.88, 0.16, 8.66, 5.09
16,409.80,945.00,7.14, 1.57, 0.97, 5.75, 5.42, 8.67, 2.37, 7.74, 7.26, 2.22, 6.93, 4.90, 3.01, 7.80, 8.81, 7.34, 5.03, 2.78, 3.28, 8.04, 7.16, 9.72, 5.50, 1.58, 1.36, 7.04, 9.00, 7.96, 1.19, 5.10, 6.29, 6.06, 3.95, 9.28, 5.97, 4.47, 7.93, 8.56, 1.52, 4.58, 2.32, 8.30, 6.01, 2.77, 3.11, 0.33, 2.88, 7.29, 8.66, 1.53
17,544.50,945.00,7.14, 1.57, 0.97, 5.75, 5.42, 8.67, 2.37, 7.74, 7.26, 2.22, 6.93, 4.90, 3.01, 7.80, 8.81, 7.34, 5.03, 2.78, 3.28, 8.04, 7.16, 9.72, 5.50, 1.58, 1.36, 7.04, 9.00, 7.96, 1.19, 5.10, 6.29, 6.06, 3.95, 9.28, 5.97, 4.47, 7.93, 8.56, 1.52, 4.58, 2.32, 8.30, 6.01, 2.77, 3.11, 0.33, 2.88, 7.29, 8.66, 1.53
18,454.50,780.00,7.14, 1.57, 0.97, 9.73, 1.78, 8.67, 5.80, 7.74, 7.26, 0.20, 6.93, 4.90, 3.01, 4.56, 3.82, 5.90, 7.22, 2.08, 9.34, 8.04, 5.72, 0.23, 2.75, 1.58, 5.26, 4.11, 8.44, 4.08, 2.68, 8.63, 3.47, 0.23, 6.15, 3.15, 5.97, 6.57, 5.02, 8.27, 1.52, 5.99, 3.07, 4.55, 6.01, 7.92, 3.11, 1.38, 9.39, 3.21, 8.01, 8.80
19,450.59,882.96,7.26, 0.40, 7.15, 8.38, 6.86, 1.87, 9.34, 1.15, 7.00, 0.68, 2.50, 0.67, 7.92, 0.66, 2.47, 3.29, 5.57, 4.96, 1.86, 3.23, 0.11, 4.78, 2.14, 7.60, 2.34, 8.86, 1.57, 7.96, 1.19, 3.41, 5.05, 5.08, 7.27, 3.46, 9.27, 7.70, 5.02, 8.27, 1.52, 5.99, 3.07, 4.55, 6.01, 7.92, 3.11, 1.38, 9.39, 3.21, 8.01, 8.80
20,537.80,882.96,7.26, 0.40, 7.15, 8.38, 6.86, 1.87, 9.34, 1.15, 7.00, 0.68, 2.50, 0.67, 7.92, 0.66, 2.47, 3.29, 5.57, 4.96, 1.86, 3.23, 0.11, 4.78, 2.14, 7.60, 2.34, 8.86, 1.57, 7.96, 1.19, 3.41, 5.05, 5.08, 7.27, 3.46, 9.27, 7.70, 5.02, 8.27, 1.52, 5.99, 3.07, 4.55, 6.01, 7.92, 3.11, 1.38, 9.39, 3.21, 8.01, 8.80
