Generación,Mejor Fitness Generación,Fitness Global,Fitness Promedio,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,Chromosoma,OS,OS Version,Java Version,OS Arquitectura,CPUs (configurados),Population Size,Mutation Rate,Crossover Rate,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
16,44954.80,44954.80,44053.68,235.73,39279.20,35.79,83.080,1380.690,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.25,26.83,23.80,20.75,45.64,44.87,43.83,43.26
17,44954.80,44954.80,44127.14,238.58,39279.20,37.75,83.362,1456.145,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,41.35,30.91,27.17,25.07,45.79,44.75,43.59,43.27
18,44954.80,44954.80,44031.56,238.76,39580.80,35.59,83.219,1532.492,2,9,"18.23",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.96,26.85,23.15,20.80,45.65,44.44,43.44,43.13
19,44954.80,44954.80,43961.99,241.35,39580.80,36.22,81.523,1610.611,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.26,27.40,23.95,21.75,46.43,45.37,43.98,43.53
20,44954.80,44954.80,43945.70,242.33,39279.20,35.91,83.366,1688.477,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.11,26.83,23.63,21.83,45.89,44.83,43.97,43.16
21,44954.80,44954.80,43991.92,243.29,39580.80,36.04,83.632,1765.823,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,38.95,27.19,23.53,21.43,45.29,44.71,43.89,43.16
22,44954.80,44954.80,44017.35,244.37,39279.20,42.83,84.844,1842.707,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,49.95,42.64,37.16,34.13,46.07,45.14,44.16,43.22
23,44954.80,44954.80,43970.50,244.29,39430.00,47.10,84.570,1919.472,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,55.05,52.95,47.75,45.02,45.25,44.19,43.57,43.03
24,44954.80,44954.80,44091.12,245.69,39279.20,49.45,83.993,1995.504,2,9,"78.01",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,60.08,55.82,52.79,48.50,45.99,45.06,44.06,43.35
25,44954.80,44954.80,44045.06,248.63,39430.00,47.54,83.604,2071.924,2,9,"50.09",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,58.46,52.94,47.75,44.38,45.43,44.68,43.56,43.15
26,44954.80,44954.80,44142.46,248.94,39279.20,46.82,84.319,2148.646,2,9,"53.23",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,55.23,51.16,46.19,44.26,45.86,44.95,43.81,43.08
27,44954.80,44954.80,43855.31,252.74,39279.20,49.88,82.200,2226.010,2,9,"5.73",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,62.39,56.80,52.24,49.85,45.72,44.81,43.84,43.34
28,44954.80,44954.80,44049.54,253.02,39430.00,48.20,82.842,2302.314,2,9,"42.37",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,57.61,54.17,48.41,48.04,45.69,44.58,44.05,43.26
29,44954.80,44954.80,43755.64,254.35,1.00,48.44,83.611,2378.317,2,9,"18.24",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,57.47,54.82,50.64,46.57,45.96,44.87,44.02,43.22
30,44954.80,44954.80,43983.61,253.77,39279.20,46.03,81.783,2454.372,2,9,"95.22",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,54.22,49.19,45.03,42.03,45.64,44.91,43.97,43.28
31,44954.80,44954.80,43981.78,254.51,39430.00,47.96,83.793,2530.647,2,9,"48.75",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,56.72,53.32,48.72,46.11,46.29,44.86,44.21,43.46
32,44954.80,44954.80,44040.22,254.06,39279.20,42.16,80.641,2606.880,2,9,"26.21",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,49.11,41.83,36.25,32.71,45.56,44.58,44.02,43.27
33,44954.80,44954.80,44007.63,253.07,39279.20,35.40,80.412,2684.271,2,9,"98.62",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.39,26.86,22.75,20.08,45.08,44.24,43.51,43.08
34,44954.80,44954.80,44044.71,253.92,39430.00,35.83,81.280,2761.275,2,9,"64.17",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.64,27.58,24.51,20.81,45.30,44.69,43.66,43.31
35,44954.80,44954.80,44023.02,251.61,39279.20,36.52,80.727,2836.774,2,9,"41.23",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,38.14,28.95,25.61,22.82,45.14,44.72,43.76,42.93
36,44954.80,44954.80,44026.05,251.24,39430.00,36.43,80.363,2911.884,2,9,"64.17",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,39.00,27.58,24.19,22.33,46.04,45.04,43.89,43.19
37,44954.80,44954.80,44013.86,252.33,39430.00,38.80,80.653,2988.130,2,9,"47.95",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,42.74,32.56,29.68,26.79,46.30,45.03,43.95,43.29
38,44954.80,44954.80,43893.68,252.89,39279.20,35.84,80.744,3063.612,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.34,27.57,22.51,21.59,45.75,44.83,43.90,43.07
39,44954.80,44954.80,44062.07,250.25,39279.20,35.08,81.116,3138.714,2,9,"48.75",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.36,26.22,22.75,20.01,45.20,44.40,43.65,42.91
40,44954.80,44954.80,44100.81,249.60,39279.20,36.28,79.039,3214.999,2,9,"38.49",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.49,28.32,24.86,22.40,45.44,44.80,43.62,43.15
41,44954.80,44954.80,21072.68,251.82,1.00,34.73,79.012,3291.604,2,9,"38.49",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.65,25.03,20.94,18.58,45.35,44.55,43.61,43.02
42,44954.80,44954.80,42446.77,252.48,1.00,34.98,78.998,3367.108,2,9,"94.02",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,38.22,24.92,22.19,19.26,44.77,44.31,43.39,42.66
43,44954.80,44954.80,43912.26,252.10,39580.80,35.85,78.866,3444.123,2,9,"96.59",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.54,27.55,23.43,21.45,45.63,44.78,43.54,42.81
44,44954.80,44954.80,44042.32,252.18,39430.00,35.57,80.149,3520.438,2,9,"21.10",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.68,27.39,23.13,21.30,45.34,44.29,43.44,42.68
45,44954.80,44954.80,44061.74,252.83,39430.00,36.83,79.591,3597.014,2,9,"89.32",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,39.07,28.88,25.96,23.86,45.67,44.75,43.67,42.83
46,44954.80,44954.80,44018.65,252.73,39580.80,35.42,79.339,3673.607,2,9,"18.24",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.48,26.32,22.35,20.57,45.64,44.51,43.50,42.70
47,44954.80,44954.80,44049.86,253.86,39580.80,36.58,80.483,3750.286,2,9,"82.05",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,39.68,28.16,24.96,22.92,45.60,45.05,43.59,42.67
48,44954.80,44954.80,43894.93,252.15,1.00,37.63,80.863,3826.485,2,9,"17.83",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,40.42,31.46,27.63,24.51,45.45,44.78,43.70,43.01
49,44954.80,44954.80,44002.41,251.63,1.00,38.67,80.701,3903.141,2,9,"14.66",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,41.99,34.31,29.83,27.26,45.25,44.41,43.32,42.93
50,44954.80,44954.80,43905.86,252.66,39430.00,34.52,80.478,3978.644,2,9,"38.49",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,34.20,24.91,21.13,19.40,45.50,44.68,43.47,42.74
51,44954.80,44954.80,44097.35,252.81,39580.80,35.63,80.375,4054.096,2,9,"48.61",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.45,26.77,22.83,20.86,45.65,44.65,43.65,43.03
52,45309.20,45309.20,44037.76,252.75,39430.00,35.06,80.664,4127.788,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.91,25.89,22.21,19.72,44.91,44.35,43.52,42.80
53,45309.20,45309.20,44117.63,251.82,39731.60,35.21,80.833,4203.636,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.07,26.27,22.73,20.67,44.85,44.63,43.49,42.84
54,45309.20,45309.20,44020.30,250.54,38977.60,34.93,80.779,4280.609,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,34.55,25.66,22.26,20.02,45.40,44.76,43.61,43.08
55,45309.20,45309.20,44058.23,245.54,39430.00,37.38,80.817,4357.212,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,38.63,29.85,26.66,23.68,46.64,45.34,44.47,43.63
56,45309.20,45309.20,44157.26,225.06,1.00,35.29,80.972,4433.468,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.21,25.69,22.44,19.54,45.46,44.83,43.81,43.22
57,45309.20,45309.20,44201.22,197.39,39430.00,35.52,81.115,4511.248,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.17,26.61,22.45,20.37,45.53,44.78,44.02,43.12
58,45309.20,45309.20,44103.61,188.76,39279.20,36.08,81.318,4588.239,3,11,"35.48",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.32,28.22,23.63,21.31,46.10,44.86,43.69,43.20
59,45309.20,45309.20,44217.91,195.77,1.00,35.79,79.590,4666.172,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.43,26.68,22.86,21.26,46.21,45.19,44.22,43.34
60,45309.20,45309.20,44259.23,201.42,1.00,41.17,80.988,4743.064,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,46.75,36.92,33.96,31.43,46.59,45.33,44.45,43.89
61,45309.20,45309.20,44224.34,210.41,39430.00,37.79,80.570,4820.714,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,41.49,31.32,26.85,24.48,45.64,45.09,44.23,43.27
62,45309.20,45309.20,44377.85,214.06,39580.80,35.33,80.030,4898.662,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.85,26.18,22.50,20.20,45.73,44.82,43.88,43.33
63,45309.20,45309.20,44367.53,214.38,39128.40,36.32,80.952,4976.025,3,11,"43.54",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,38.05,28.02,24.79,22.30,45.57,44.64,43.91,43.19
64,45309.20,45309.20,44355.28,219.48,39430.00,34.78,80.557,5053.540,3,11,"75.69",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.17,24.58,21.13,18.77,45.52,44.62,44.00,43.27
65,45309.20,45309.20,44145.08,224.33,39279.20,35.55,80.593,5131.279,3,11,"26.64",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.63,26.28,22.54,20.21,45.80,44.71,43.94,43.11
66,45309.20,45309.20,44282.34,228.54,39430.00,35.96,79.784,5208.289,3,11,"17.75",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.29,27.00,23.63,21.12,45.89,45.26,44.05,43.24
67,45309.20,45309.20,44313.69,230.82,39279.20,37.59,81.257,5284.743,3,11,"68.22",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,39.14,30.87,26.66,24.49,46.55,45.44,44.15,43.39
68,45309.20,45309.20,44351.38,231.30,39128.40,35.31,81.072,5359.777,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.01,26.00,22.80,20.67,45.40,44.54,43.76,43.13
69,45309.20,45309.20,44246.03,233.86,39279.20,35.24,81.217,5436.703,3,11,"16.42",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.72,25.84,21.87,19.54,45.70,45.07,43.98,43.16
70,45309.20,45309.20,44400.40,230.85,39279.20,36.44,79.433,5513.885,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,40.03,27.58,24.51,21.41,45.73,44.99,43.80,43.37
71,45309.20,45309.20,44255.86,234.73,39580.80,35.05,78.721,5591.113,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.39,25.61,22.11,19.51,45.13,44.97,43.58,42.91
72,45309.20,45309.20,44328.13,237.02,39279.20,34.85,80.616,5667.825,3,11,"40.46",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,34.86,25.70,22.00,19.15,45.51,44.79,43.69,42.93
73,45309.20,45309.20,44167.60,237.73,39279.20,36.36,80.947,5745.254,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.62,27.12,24.17,21.76,46.79,45.89,44.48,43.91
74,45309.20,45309.20,44274.40,236.90,39430.00,36.15,81.302,5821.761,3,11,"94.68",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,38.59,27.54,24.38,22.01,45.14,44.62,43.84,42.94
75,45309.20,45309.20,44383.31,237.90,39128.40,35.65,81.287,5898.410,3,11,"95.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.47,26.52,22.86,21.36,45.41,44.67,43.73,43.07
76,45309.20,45309.20,44296.75,240.88,39430.00,35.21,81.130,5975.335,3,11,"7.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.05,25.85,22.65,19.42,45.65,44.67,43.91,43.26
77,45309.20,45309.20,44352.70,240.69,39430.00,36.89,82.044,6051.129,3,11,"51.13",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,38.33,29.07,25.28,23.26,46.37,45.25,44.18,43.34
78,45309.20,45309.20,44322.69,241.45,39279.20,35.87,82.327,6126.412,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.73,27.08,23.51,21.09,45.93,45.37,43.93,43.22
79,45309.20,45309.20,44284.34,241.87,39430.00,35.45,82.191,6203.788,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.96,25.52,22.50,19.37,46.09,44.96,43.89,43.15
80,45309.20,45309.20,44236.78,242.92,39128.40,35.76,82.044,6279.283,3,11,"18.58",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.39,26.43,22.51,20.35,46.15,45.40,44.30,43.33
81,45309.20,45309.20,20619.68,250.06,1.00,35.75,82.188,6356.063,3,11,"29.68",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.97,27.42,23.67,20.87,45.58,45.04,43.82,43.55
82,45309.20,45309.20,42147.39,255.10,1.00,37.31,81.948,6433.305,3,11,"29.68",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,38.88,30.21,26.49,24.07,46.00,44.90,44.15,43.50
83,45309.20,45309.20,43225.97,251.51,39279.20,39.90,81.513,6510.292,3,11,"48.63",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,43.66,34.65,31.55,29.36,46.77,45.49,44.19,43.59
84,45309.20,45309.20,43560.70,249.69,39430.00,35.45,81.410,6587.317,3,11,"29.22",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.21,26.35,22.34,20.22,45.64,44.83,43.82,43.02
85,45309.20,45309.20,43707.65,248.39,39430.00,36.02,81.667,6664.717,3,11,"48.63",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.65,27.34,24.13,21.68,46.24,45.16,43.98,42.99
86,45309.20,45309.20,43741.99,248.67,39580.80,35.49,81.968,6741.470,3,11,"0.40",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.58,26.59,23.24,20.47,45.77,45.21,43.78,43.15
87,45309.20,45309.20,43773.70,247.89,39279.20,35.73,81.828,6818.766,3,11,"99.08",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.99,27.56,23.21,21.40,45.18,45.20,43.82,43.35
88,45309.20,45309.20,43679.27,247.37,39128.40,35.56,81.979,6896.576,3,11,"10.38",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.70,26.77,23.14,20.48,45.66,44.58,43.79,43.29
89,45309.20,45309.20,43711.05,247.91,39128.40,35.25,81.823,6972.831,3,11,"29.68",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.16,26.10,23.20,19.99,45.29,44.65,43.36,42.97
90,45309.20,45309.20,43632.81,249.27,39279.20,37.71,84.846,7049.968,3,11,"18.58",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,39.50,30.15,27.53,24.67,46.41,45.39,44.27,43.61
91,45309.20,45309.20,43660.29,248.54,38977.60,35.58,77.003,7126.974,3,11,"98.91",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.12,26.35,22.67,20.53,45.81,45.19,44.37,43.60
92,45309.20,45309.20,43690.14,249.29,39430.00,35.85,78.928,7204.702,3,11,"66.30",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.91,27.34,23.84,21.13,45.65,44.68,43.85,43.28
93,45309.20,45309.20,43734.81,248.97,39430.00,35.26,78.741,7281.715,3,11,"65.82",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.40,25.67,22.05,19.79,45.27,44.64,43.76,43.34
94,45309.20,45309.20,43768.99,248.80,39430.00,35.24,79.509,7358.439,3,11,"48.63",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.32,26.48,22.94,20.38,45.22,44.50,43.35,42.59
95,45309.20,45309.20,43756.89,246.06,39279.20,35.99,78.987,7435.806,3,11,"29.97",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.10,27.72,24.43,21.65,45.42,44.65,43.76,43.09
96,45309.20,45309.20,43659.11,245.80,39430.00,37.09,83.547,7513.585,3,11,"10.38",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,39.03,29.99,26.43,23.96,45.59,44.85,43.87,42.95
97,45309.20,45309.20,43732.28,246.75,39430.00,37.73,78.111,7591.071,3,11,"44.47",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,41.19,30.70,27.08,23.90,46.05,45.27,44.14,43.46
98,45309.20,45309.20,43768.37,245.49,38977.60,39.45,79.002,7668.357,3,11,"13.59",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,44.09,34.42,30.83,27.60,45.69,45.13,44.26,43.46
99,45309.20,45309.20,43844.64,246.91,39430.00,36.95,78.966,7745.019,3,11,"49.73",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,38.65,30.27,26.08,23.33,45.73,44.85,43.85,42.70
100,45309.20,45309.20,43726.04,245.86,39430.00,35.35,78.720,7820.869,3,11,"48.63",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.84,26.30,23.54,21.28,45.35,44.37,43.17,42.88
101,45309.20,45309.20,43729.67,246.30,39279.20,34.69,78.558,7896.762,3,11,"47.86",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.21,24.56,21.63,19.72,45.32,44.31,43.58,43.05
102,45309.20,45309.20,43738.67,246.50,39430.00,35.91,78.819,7974.188,3,11,"18.58",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,38.16,26.76,22.93,20.86,45.97,45.26,43.92,43.29
103,45309.20,45309.20,43584.19,246.00,1.00,35.30,79.395,8051.296,3,11,"39.82",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.53,26.11,22.79,20.48,45.03,44.52,43.47,43.14
104,45309.20,45309.20,43589.36,246.84,39430.00,35.19,78.970,8128.202,3,11,"31.21",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.24,26.30,22.70,19.80,45.46,44.98,44.14,42.98
105,45309.20,45309.20,43650.41,245.11,39580.80,35.10,78.867,8205.190,3,11,"49.73",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.53,25.55,22.35,19.91,45.68,44.72,43.74,43.18
106,45309.20,45309.20,43763.74,244.17,39430.00,38.34,79.842,8282.215,3,11,"14.14",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,42.14,31.69,28.68,25.79,45.89,45.08,44.04,43.29
107,45309.20,45309.20,43683.69,245.90,39430.00,35.65,80.036,8359.256,3,11,"48.63",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.74,26.13,23.23,21.64,45.02,44.63,43.67,42.98
108,45309.20,45309.20,43694.87,245.67,39279.20,35.43,79.672,8436.653,3,11,"29.68",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.05,26.61,22.87,19.90,46.12,45.23,44.00,43.39
109,45309.20,45309.20,43689.48,249.44,39128.40,36.07,79.985,8514.450,3,11,"54.24",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.00,28.15,24.65,21.76,45.44,44.67,43.86,43.11
110,45309.20,45309.20,43637.15,248.38,39128.40,35.43,80.040,8591.844,3,11,"5.61",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.40,26.68,23.27,20.62,45.44,44.88,43.84,43.14
111,45309.20,45309.20,43733.72,249.39,39430.00,35.36,79.703,8667.694,3,11,"31.89",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.78,26.24,22.49,20.26,45.92,44.54,43.46,42.99
112,45309.20,45309.20,43710.39,248.59,38977.60,38.06,79.888,8745.675,3,11,"5.61",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,40.92,32.08,28.21,25.75,45.42,44.80,44.03,43.30
113,45309.20,45309.20,43856.11,246.12,39279.20,35.66,79.614,8823.271,3,11,"29.68",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.19,27.11,23.50,20.58,46.50,45.05,44.09,43.08
114,45309.20,45309.20,43576.10,246.21,1.00,35.03,79.224,8900.720,3,11,"54.24",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,34.32,26.18,22.22,20.54,45.25,44.70,43.75,43.19
115,45309.20,45309.20,43605.24,247.95,1.00,35.42,79.994,8978.519,3,11,"62.96",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.96,26.35,23.16,20.78,45.22,44.87,43.65,43.25
116,45309.20,45309.20,43763.51,245.79,39430.00,35.89,79.534,9053.614,3,11,"56.33",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.61,27.54,24.18,20.99,45.58,44.64,43.53,42.94
117,45309.20,45309.20,43649.34,246.78,39430.00,35.08,80.069,9131.004,3,11,"56.33",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.59,26.13,22.99,20.19,44.85,44.50,43.33,42.95
